With 1 process,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
output_2.1,output_2.2,output_1.1,output_1.2,output_1.3,output_1.4,output_1.5,output_1.6,output_1.7,output_1.8,output_1.9,output_1.10,output_1.11,output_1.13,output_1.12,output_1.14
36.44,22.13,15.65,12.35,10.44,9.05,8.21,7.51,8.79,7.46,7.16,7.06,7.06,7.02,7.14,7.03
1.4480538,0.87944651,0.62201375,0.49067143,0.41468602,0.35983258,0.32620211,0.29858565,0.34947533,0.29662645,0.28451963,0.28051776,0.28054299,0.27883897,0.2839187,0.27931859
1,1.6466335292,2.3284345048,2.9506072875,3.4904214559,4.026519337,4.4384896468,4.8521970706,4.1456200228,4.8847184987,5.0893854749,5.1614730878,5.1614730878,5.1908831909,5.1036414566,5.1834992888
1,1.6465513065,2.3280093085,2.9511679537,3.4919281822,4.0242431633,4.4391306972,4.8497099576,4.1435079266,4.8817420024,5.0894688707,5.1620752996,5.16161106,5.1931543141,5.1002410197,5.1842371108
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
With 8 processes,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,
output_2.1,output_2.2,,,,,,,,,,,,,,
84,56.47,,,,,,,,,,,,,,
0.19148507,0.12871108,,,,,,,,,,,,,,
0.4338095238,0.6452983885,,,,,,,,,,,,,,
7.5622282197,11.2504207097,,,,,,,,,,,,,,
